brand,ats,identifier,url,verified_name,jobs,sg_jobs,ai_confidence
6WIND,ai (browser),https://www.6wind.com,https://www.6wind.com,,-1,-1,low
AACSB International,ai (browser),https://www.aacsb.edu/about-us/careers,https://www.aacsb.edu/about-us/careers,,-1,-1,low
ACWA Power,successfactors (browser),https://career23.sapsf.com/career?site=&company=acwapowerc&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,https://career23.sapsf.com/career?site=&company=acwapowerc&lang=en_US&login_ns=register&career_ns=home&navBarLevel=MY_PROFILE,acwapower,-1,-1,low
ADLINK Technology,ai (browser),https://www.spectrumreach.com/404,https://www.spectrumreach.com/404,,-1,-1,low
ADM,ai (browser),https://www.e-adm.com/,https://www.e-adm.com/,,-1,-1,high
APR Energy,ai (browser),https://www.aprenergy.com/careers/,https://www.aprenergy.com/careers/,,-1,-1,low
ASSA ABLOY,ai (browser),https://www.assaabloy.com/career/en,https://www.assaabloy.com/career/en,,-1,-1,high
AXA,icims (browser),https://careers.axa.com/careers-home/,https://careers.axa.com/careers-home/,axa,-1,-1,high
Aarki,workable (browser),https://apply.workable.com/aarki,https://apply.workable.com/aarki,aarki,-1,-1,low
Academy Xi,ai (browser),https://academyxi.com/careers/,https://academyxi.com/careers/,,-1,-1,low
Acer,ai (browser),https://careers.acer.com/,https://careers.acer.com/,,-1,-1,low
Actualize Consulting,ai (browser),https://www.actualizeconsulting.com/careers.html,https://www.actualizeconsulting.com/careers.html,,-1,-1,low
AerCap,ai (browser),https://www.aercap.com/careers/life-at-aercap,https://www.aercap.com/careers/life-at-aercap,,-1,-1,high
Aersale,ai (browser),https://www.aersale.com/careers,https://www.aersale.com/careers,,-1,-1,low
Afiniti,ai (browser),https://www.afiniti.com/careers/,https://www.afiniti.com/careers/,,-1,-1,low
Ahlstrom,successfactors (browser),https://career5.successfactors.eu/career?company=Ahlstrom,https://career5.successfactors.eu/career?company=Ahlstrom,ahlstrom,-1,-1,low
AirTrunk,ai (browser),https://airtrunk.com/careers/,https://airtrunk.com/careers/,,-1,-1,low
Airbnb,ai (browser),https://careers.airbnb.com,https://careers.airbnb.com,,-1,-1,high
Airtac,ai (browser),https://www.airtac.com/careers,https://www.airtac.com/careers,,-1,-1,low
AliExpress,ai (browser),https://www.aliexpress.com/s/error/404,https://www.aliexpress.com/s/error/404,,-1,-1,low
